	iptm	ptm	mean_plddt	mean_pdockq2	mean_plddt_lst	replicate	subunits	phrog
0	0.53	0.54	65.72191202090593	0.011981083474404299	0.406691801822562	rep_2	7	phrog_10002
0	0.51	0.52	65.7049956445993	0.011963896979828819	0.35075605025758466	rep_3	7	phrog_10002
0	0.59	0.6	64.2541768292683	0.015221676675695048	0.4404871781627562	rep_1	8	phrog_10002
0	0.55	0.55	66.24951981707316	0.010666556560423692	0.32825323602907647	rep_2	8	phrog_10002
0	0.53	0.54	65.92586890243903	0.013931695914613426	0.4058277539636682	rep_3	8	phrog_10002
0	0.59	0.6	64.04663956639565	0.014506802301776747	0.42292110974121633	rep_1	9	phrog_10002
0	0.51	0.52	64.82856707317073	0.018179675067814063	0.46723100041596055	rep_2	9	phrog_10002
0	0.45	0.46	61.9049322493225	0.00998767793639553	0.28384766758848434	rep_3	9	phrog_10002
0	0.54	0.55	63.34628658536585	0.014823136465707914	0.43075819902790513	rep_1	10	phrog_10002
0	0.48	0.49	65.07123780487804	0.012327142791485187	0.3617557387585736	rep_2	10	phrog_10002
0	0.47	0.48	63.53727743902439	0.02736240570843342	0.5345642059531022	rep_3	10	phrog_10002
0	0.3	0.42	67.52077777777778	0.015074861909699776	0.2590725609373966	rep_1	2	phrog_10003
0	0.28	0.42	69.07635185185184	0.014027908591474311	0.2353459121641512	rep_2	2	phrog_10003
0	0.22	0.39	65.52557407407407	0.011586352261702904	0.19160392753421807	rep_3	2	phrog_10003
0	0.3	0.39	62.17624691358024	0.01164373013283322	0.20924553506522994	rep_1	3	phrog_10003
0	0.3	0.39	61.49607407407407	0.01172054884605235	0.2231386384627315	rep_2	3	phrog_10003
0	0.22	0.33	59.544444444444444	0.011092477325987879	0.1985966858881104	rep_3	3	phrog_10003
0	0.31	0.39	59.55013888888888	0.011034694542356071	0.21132525111637152	rep_1	4	phrog_10003
0	0.32	0.38	58.19325925925926	0.011445082262287787	0.21251850901316494	rep_2	4	phrog_10003
0	0.17	0.27	58.451731481481474	0.009767192022359351	0.1483312304761954	rep_3	4	phrog_10003
0	0.39	0.43	59.14613333333333	0.012346524024719039	0.2500864741125691	rep_1	5	phrog_10003
0	0.38	0.42	60.534459259259265	0.013458980086574378	0.2637551092562937	rep_2	5	phrog_10003
0	0.33	0.39	59.63376296296296	0.011244633285553968	0.2120819793578491	rep_3	5	phrog_10003
0	0.37	0.41	57.138617283950616	0.012050910918069266	0.24704383651090603	rep_1	6	phrog_10003
0	0.34	0.38	57.07557407407407	0.012683500228524628	0.25537605693219256	rep_2	6	phrog_10003
0	0.34	0.38	58.00704938271605	0.012782755566460776	0.27275868253506114	rep_3	6	phrog_10003
0	0.37	0.41	57.06649735449735	0.012737076852849217	0.2642138859958273	rep_1	7	phrog_10003
0	0.37	0.4	57.81044973544974	0.01311402443122403	0.2678768308509488	rep_2	7	phrog_10003
0	0.35	0.38	58.32961375661376	0.013390232887738504	0.28453412567367176	rep_3	7	phrog_10003
0	0.39	0.42	59.09028703703704	0.01720909923219725	0.3345861008696072	rep_1	8	phrog_10003
0	0.36	0.4	56.63441203703703	0.01307964932294501	0.2746736888091954	rep_2	8	phrog_10003
0	0.35	0.38	57.55434722222222	0.014904821742416113	0.3183690843619149	rep_3	8	phrog_10003
0	0.38	0.41	58.33102469135803	0.019369799093256264	0.3642334999510805	rep_1	9	phrog_10003
0	0.34	0.38	56.52604115226339	0.014573384313853096	0.3113062950353314	rep_2	9	phrog_10003
0	0.34	0.37	55.496592592592584	0.013873992872674771	0.3010101848085093	rep_3	9	phrog_10003
0	0.38	0.41	58.224996296296304	0.02365703029627372	0.406080048216552	rep_1	10	phrog_10003
0	0.35	0.38	57.18213333333334	0.014604778280558551	0.31290569560925047	rep_2	10	phrog_10003
0	0.35	0.37	55.551492592592595	0.015115440718129008	0.3464703731353217	rep_3	10	phrog_10003
0	0.13	0.41	75.16113782051282	0.009405853681598872	0.11690005674236707	rep_1	2	phrog_10004
0	0.11	0.41	86.0228044871795	0.009510260691473201	0.11292938940899225	rep_2	2	phrog_10004
